task_id,status,confidence,review_reason,person_id,image_id,split,redacted_image_uri,family,category,occasion,formality,aesthetic_tags,color_mood,layering,fit,silhouette,color_family,pattern,style_item_id
auto_style_000001,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_928c61ca6e70,p_928c61ca6e70_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_928c61ca6e70_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,blue,solid,style_top|tank|casual|unknown|blue|casual_basic
auto_style_000002,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_4cb46201d523,p_4cb46201d523_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_4cb46201d523_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,unknown,unknown,black,solid,style_top|tank|casual|unknown|black|casual_basic
auto_style_000003,auto_labeled,0.95,fit_unknown,p_54b35df57f95,p_54b35df57f95_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_54b35df57f95_01.jpg,outerwear,coat,casual,casual,casual_basic,colorful,light_layering,unknown,tailored,multi,solid,style_outerwear|coat|casual|unknown|multi|casual_basic
auto_style_000004,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_154cc4accc64,p_154cc4accc64_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_154cc4accc64_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000005,auto_labeled,0.77,color_mood_unknown|fit_unknown|silhouette_unknown,p_ae7b5f0d8e63,p_ae7b5f0d8e63_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_ae7b5f0d8e63_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,unknown,unknown,yellow,solid,style_dress_jumpsuit|midi_dress|casual|unknown|yellow|classic+romantic
auto_style_000006,needs_review,0.69,color_mood_unknown|fit_unknown|silhouette_unknown|color_family_unknown,p_5e2e762e7ba4,p_5e2e762e7ba4_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_5e2e762e7ba4_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,unknown,unknown,unknown,stripe,style_top|tank|casual|unknown|unknown|casual_basic
auto_style_000007,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_1c9e0e37b954,p_1c9e0e37b954_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_1c9e0e37b954_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000008,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_ab3a88ef26ad,p_ab3a88ef26ad_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_ab3a88ef26ad_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,unknown,unknown,multi,solid,style_top|tank|casual|unknown|multi|casual_basic
auto_style_000009,auto_labeled,0.9,fit_unknown|silhouette_unknown,p_9e3ce1caae7c,p_9e3ce1caae7c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_9e3ce1caae7c_01.jpg,top,sweater,casual,casual,casual_basic|soft,neutral,single_layer,unknown,unknown,white,solid,style_top|sweater|casual|unknown|white|casual_basic+soft
auto_style_000010,auto_labeled,0.87,fit_unknown|silhouette_unknown,p_6cbaf402583a,p_6cbaf402583a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_6cbaf402583a_01.jpg,bottom,trousers,casual,casual,classic|minimal,colorful,single_layer,unknown,unknown,multi,solid,style_bottom|trousers|casual|unknown|multi|classic+minimal
