task_id,status,person_id,image_id,split,image_path,suggested_family,suggested_category,suggested_occasion,suggested_formality,suggested_aesthetic_tags,suggested_color_mood,suggested_layering,corrected_family,corrected_category,corrected_occasion,corrected_formality,corrected_aesthetic_tags,corrected_color_mood,corrected_layering,quality_status,notes
style_label_00001,pending,p_9fc07204fcdf,p_9fc07204fcdf_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_9fc07204fcdf_01.jpg,top,blouse,casual,casual,classic|minimal,neutral,single_layer,,,,,,,,usable,
style_label_00002,pending,p_dc3414a88dd9,p_dc3414a88dd9_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dc3414a88dd9_01.jpg,top,cardigan,casual,casual,soft|casual_basic,colorful,light_layering,,,,,,,,usable,
style_label_00003,pending,p_54b35df57f95,p_54b35df57f95_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_54b35df57f95_01.jpg,outerwear,coat,casual,casual,casual_basic,colorful,light_layering,,,,,,,,usable,
style_label_00004,pending,p_dacb5c4669f8,p_dacb5c4669f8_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_dacb5c4669f8_01.jpg,outerwear,denim_jacket,casual,casual,casual_basic,unknown,light_layering,,,,,,,,usable,
style_label_00005,pending,p_0775fb8c816a,p_0775fb8c816a_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_0775fb8c816a_01.jpg,top,hoodie,casual,casual,casual_basic|streetwear,neutral,single_layer,,,,,,,,usable,
style_label_00006,pending,p_443e4d258e26,p_443e4d258e26_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_443e4d258e26_01.jpg,outerwear,leather_jacket,casual,casual,casual_basic,colorful,light_layering,,,,,,,,usable,
style_label_00007,pending,p_ae7b5f0d8e63,p_ae7b5f0d8e63_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_ae7b5f0d8e63_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,,,,,,,,usable,
style_label_00008,pending,p_eda5f4d86df0,p_eda5f4d86df0_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_eda5f4d86df0_01.jpg,dress_jumpsuit,romper,casual,casual,classic|romantic,unknown,single_layer,,,,,,,,usable,
style_label_00009,pending,p_314a9c804037,p_314a9c804037_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_314a9c804037_01.jpg,bottom,shorts,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
style_label_00010,pending,p_720a91197642,p_720a91197642_01,train,../../../female_clothing_style_v1/redacted/deepfashion_with_masks_balanced_10_20/p_720a91197642_01.jpg,bottom,skirt,casual,casual,casual_basic,colorful,single_layer,,,,,,,,usable,
