person_id,image_id,slot,collection_status,consent_status,redaction_status,label_status
p_000001,p_000001_01,1,pending,pending,pending,pending
p_000001,p_000001_02,2,pending,pending,pending,pending
p_000001,p_000001_03,3,pending,pending,pending,pending
p_000001,p_000001_04,4,pending,pending,pending,pending
p_000001,p_000001_05,5,pending,pending,pending,pending
p_000001,p_000001_06,6,pending,pending,pending,pending
p_000001,p_000001_07,7,pending,pending,pending,pending
p_000001,p_000001_08,8,pending,pending,pending,pending
p_000001,p_000001_09,9,pending,pending,pending,pending
p_000001,p_000001_10,10,pending,pending,pending,pending
p_000002,p_000002_01,1,pending,pending,pending,pending
p_000002,p_000002_02,2,pending,pending,pending,pending
p_000002,p_000002_03,3,pending,pending,pending,pending
p_000002,p_000002_04,4,pending,pending,pending,pending
p_000002,p_000002_05,5,pending,pending,pending,pending
p_000002,p_000002_06,6,pending,pending,pending,pending
p_000002,p_000002_07,7,pending,pending,pending,pending
p_000002,p_000002_08,8,pending,pending,pending,pending
p_000002,p_000002_09,9,pending,pending,pending,pending
p_000002,p_000002_10,10,pending,pending,pending,pending
p_000003,p_000003_01,1,pending,pending,pending,pending
p_000003,p_000003_02,2,pending,pending,pending,pending
p_000003,p_000003_03,3,pending,pending,pending,pending
p_000003,p_000003_04,4,pending,pending,pending,pending
p_000003,p_000003_05,5,pending,pending,pending,pending
p_000003,p_000003_06,6,pending,pending,pending,pending
p_000003,p_000003_07,7,pending,pending,pending,pending
p_000003,p_000003_08,8,pending,pending,pending,pending
p_000003,p_000003_09,9,pending,pending,pending,pending
p_000003,p_000003_10,10,pending,pending,pending,pending
p_000004,p_000004_01,1,pending,pending,pending,pending
p_000004,p_000004_02,2,pending,pending,pending,pending
p_000004,p_000004_03,3,pending,pending,pending,pending
p_000004,p_000004_04,4,pending,pending,pending,pending
p_000004,p_000004_05,5,pending,pending,pending,pending
p_000004,p_000004_06,6,pending,pending,pending,pending
p_000004,p_000004_07,7,pending,pending,pending,pending
p_000004,p_000004_08,8,pending,pending,pending,pending
p_000004,p_000004_09,9,pending,pending,pending,pending
p_000004,p_000004_10,10,pending,pending,pending,pending
p_000005,p_000005_01,1,pending,pending,pending,pending
p_000005,p_000005_02,2,pending,pending,pending,pending
p_000005,p_000005_03,3,pending,pending,pending,pending
p_000005,p_000005_04,4,pending,pending,pending,pending
p_000005,p_000005_05,5,pending,pending,pending,pending
p_000005,p_000005_06,6,pending,pending,pending,pending
p_000005,p_000005_07,7,pending,pending,pending,pending
p_000005,p_000005_08,8,pending,pending,pending,pending
p_000005,p_000005_09,9,pending,pending,pending,pending
p_000005,p_000005_10,10,pending,pending,pending,pending
p_000006,p_000006_01,1,pending,pending,pending,pending
p_000006,p_000006_02,2,pending,pending,pending,pending
p_000006,p_000006_03,3,pending,pending,pending,pending
p_000006,p_000006_04,4,pending,pending,pending,pending
p_000006,p_000006_05,5,pending,pending,pending,pending
p_000006,p_000006_06,6,pending,pending,pending,pending
p_000006,p_000006_07,7,pending,pending,pending,pending
p_000006,p_000006_08,8,pending,pending,pending,pending
p_000006,p_000006_09,9,pending,pending,pending,pending
p_000006,p_000006_10,10,pending,pending,pending,pending
p_000007,p_000007_01,1,pending,pending,pending,pending
p_000007,p_000007_02,2,pending,pending,pending,pending
p_000007,p_000007_03,3,pending,pending,pending,pending
p_000007,p_000007_04,4,pending,pending,pending,pending
p_000007,p_000007_05,5,pending,pending,pending,pending
p_000007,p_000007_06,6,pending,pending,pending,pending
p_000007,p_000007_07,7,pending,pending,pending,pending
p_000007,p_000007_08,8,pending,pending,pending,pending
p_000007,p_000007_09,9,pending,pending,pending,pending
p_000007,p_000007_10,10,pending,pending,pending,pending
p_000008,p_000008_01,1,pending,pending,pending,pending
