person_id,image_id,split,redacted_image_uri,primary_family,primary_category,occasion,formality,aesthetic_tags,color_mood,layering,gender_label_source,rights_basis
p_928c61ca6e70,p_928c61ca6e70_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_928c61ca6e70_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_4cb46201d523,p_4cb46201d523_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_4cb46201d523_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_54b35df57f95,p_54b35df57f95_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_54b35df57f95_01.jpg,outerwear,coat,casual,casual,casual_basic,colorful,light_layering,dataset_label,dataset_license
p_154cc4accc64,p_154cc4accc64_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_154cc4accc64_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_44a7a973e504,p_44a7a973e504_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_44a7a973e504_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_ae7b5f0d8e63,p_ae7b5f0d8e63_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_ae7b5f0d8e63_01.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_031c13828ab5,p_031c13828ab5_01,test,redacted/deepfashion_with_masks_balanced_10_20/p_031c13828ab5_01.jpg,top,tank,casual,casual,casual_basic,neutral,single_layer,dataset_label,dataset_license
p_5e2e762e7ba4,p_5e2e762e7ba4_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_5e2e762e7ba4_01.jpg,top,tank,casual,casual,casual_basic,unknown,single_layer,dataset_label,dataset_license
p_1c9e0e37b954,p_1c9e0e37b954_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_1c9e0e37b954_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_44a7a973e504,p_44a7a973e504_02,test,redacted/deepfashion_with_masks_balanced_10_20/p_44a7a973e504_02.jpg,dress_jumpsuit,midi_dress,casual,casual,classic|romantic,unknown,single_layer,dataset_label,dataset_license
p_ab3a88ef26ad,p_ab3a88ef26ad_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_ab3a88ef26ad_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
p_9e3ce1caae7c,p_9e3ce1caae7c_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_9e3ce1caae7c_01.jpg,top,sweater,casual,casual,soft|casual_basic,neutral,single_layer,dataset_label,dataset_license
p_6cbaf402583a,p_6cbaf402583a_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_6cbaf402583a_01.jpg,bottom,trousers,casual,casual,classic|minimal,colorful,single_layer,dataset_label,dataset_license
p_ad0d2c104e0b,p_ad0d2c104e0b_01,train,redacted/deepfashion_with_masks_balanced_10_20/p_ad0d2c104e0b_01.jpg,top,tank,casual,casual,casual_basic,colorful,single_layer,dataset_label,dataset_license
